asin,page,review_id,title,rating,author,date_text,body,verified_purchase,helpful_votes,variant,Flavor,Date,Month,sent_compound,sent_label
B07HRJ2VPK,8,customer_review-RHX0GNGKSZQER,4.0 out of 5 stars,4.0,Mari,"Reviewed in the United States on March 9, 2025","I am a huge fan of Vietnamese coffee so I was very excited to try this protein flavored shake. I simply mixed it with water and it turned out great in my shaker without any lumps at all. The flavor tastes great and better than other protein flavored shakes that I have tried in the past, but it also has higher calories compared to others so that is something to be mindful about. I typically drink a protein shake as a meal replacement, so the calories is well worth it for me!",False,0,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-03-09,2025-03-01,0.9046,pos
B07HRJ2VPK,9,customer_review-R24NV5XMSN83FB,4.0 out of 5 stars,4.0,Bunny,"Reviewed in the United States on March 9, 2025","If you're on the search for a protein-coffee, I think this is a pretty good choice! The bag is large, it comes with a scoop and the taste is good. It does taste like coffee, reminds me of Vietnamese coffee, and it definitely has caffeine in it. It is on the sweeter side and it's not sweetened with my preferred sweetener, but it works well for a morning protein drink regardless. It mixes well and tastes good with ice.",False,0,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-03-09,2025-03-01,0.9463,pos
B07HRJ2VPK,9,customer_review-R15NPGF2C1JE5M,5.0 out of 5 stars,5.0,costco,"Reviewed in the United States on March 8, 2025","The Boba Tea Protein Vietnamese Coffee is an amazing way to combine my love for bubble tea with the benefits of protein! The 25g of grass-fed whey protein isolate makes it a great post-workout drink, and the 112mg of caffeine gives me the perfect energy boost without being overwhelming. The flavor is rich and authentic, just like a real Vietnamese coffee, and I love that it’s gluten-free, soy-free, and lactose-free. It's easy to mix, and the 25 servings in the package are perfect for daily use. Highly recommend this for anyone looking for a tasty, energizing, and healthy protein drink!",False,0,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-03-08,2025-03-01,0.9933,pos
B07HRJ2VPK,9,customer_review-RUO97IE64D63,1.0 out of 5 stars,1.0,Huamin H Li,"Reviewed in the United States on March 8, 2025","I don’t know what yall are tasting when you rave about this protein, talkin about how it tastes exactly like boba! I was sooooo excited for this but yall should be arrested for convincing me to buy it! This is one of the worst tasting protein powders I’ve ever had the displeasure of drinking. It was so bad that here I am writing my first ever Amazon review, in hopes of saving someone else from wasting their money. It tastes absolutely nothing like boba… Please do yourself a favor and buy another brand.",True,1,Flavor Name: Classic Milk Tea Size: 25 Servings,Classic Milk Tea,2025-03-08,2025-03-01,-0.7943,neg
B07HRJ2VPK,9,customer_review-R3HAN6NVHETBZN,5.0 out of 5 stars,5.0,LuLu,"Reviewed in the United States on March 7, 2025","Firstly,the size of product you get for the price,is amazing! I was skeptical at first,but I'm glad I gave this a go. It's so delicious. I don't have a shaker bottle,so I had to use my blender. I did one scoop,8 oz of water,with some ice. It turned out perfectly. It isn't chalky,and it has a true Vietnamese coffee flavor. With 25 grams of protein per serving,this is the perfect morning shake. The monk fruit gives it the right amount of sweetness, without the unhealthiness of sugar.",False,0,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-03-07,2025-03-01,0.9742,pos
B07HRJ2VPK,9,customer_review-RWKR9SF02YV2,5.0 out of 5 stars,5.0,Hunter Warrior,"Reviewed in the United States on March 7, 2025","This boba tea protein coffee drink mix is easy to prepare and tastes good. The powder dissolves easily in water. No gritty texture. It has a nice, sweet coffee flavor. It is smooth and fairly creamy. The added grass-fed whey protein is great. I like that it is low in sugar and lactose. Sweetened with monk fruit extract. It contains 112mg of natural caffeine per serving. This comes in a large, resealable, foil-lined standup retail bag. A scoop is provided for easy measuring. Overall, I really like this. It is a great protein coffee drink to have when I need a little pick-me-up in the afternoon. It is energizing and fairly filling. For around $2 per serving, it seems like a pretty decent value for the money. Made in USA.",False,0,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-03-07,2025-03-01,0.9912,pos
B07HRJ2VPK,9,customer_review-R6EJJOLMZC8KO,5.0 out of 5 stars,5.0,A Simple Consumer,"Reviewed in the United States on March 6, 2025","I was curious about whey protein powder being advertised for use in boba drinks. I tried it with just water 10oz and it's very sweet and strong; you can definitely taste the vietnamese coffee influence. I can see it being good with added pearls/tapioca but it's a bit too strong and sweet as is. It does have a bit of an aftertaste, similar to coffee and a bit of that artificial sweetener taste but it's not too bad and would be better if you have complimentary ingredients added to offset some of that sweetness.",False,0,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-03-06,2025-03-01,0.9872,pos
B07HRJ2VPK,9,customer_review-R1S72N2J2G8DEX,5.0 out of 5 stars,5.0,Glass Dice,"Reviewed in the United States on March 6, 2025",This protein powder tastes fantastic and the ingredients are great. The powder mixes well and is a great afternoon pick-me-up with the caffeine. My only criticism is the packaging. It comes in a ziplock bag and the powder gets stuck in the zipper track from shipping. I couldn’t zip the bag shut after opening it and had to stick the whole bag into a plastic tub. I’d love to see a ziplock slider in the future as packaging improvement.,True,1,Flavor Name: Classic Milk Tea Size: 25 Servings,Classic Milk Tea,2025-03-06,2025-03-01,0.9531,pos
B07HRJ2VPK,9,customer_review-R3CEUUMC6DOQJW,4.0 out of 5 stars,4.0,SunnySkies,"Reviewed in the United States on March 5, 2025","I really appreciate that this coffee boba tea is so high in protein! I made it with water and (and without boba, as I didn't have any on-hand). The flavor is pleasantly coffeelike, but the aftertaste from the sweetener was less pleasant to my palate. It lingered and left a dry feel to my mouth. I am very picky when it comes to artificial sweeteners, so your experience may well be different. If you are looking for a high protein beverage, this is a good choice.",False,0,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-03-05,2025-03-01,0.9306,pos
B07HRJ2VPK,9,customer_review-R2AK2PHIYCB75P,5.0 out of 5 stars,5.0,Jack,"Reviewed in the United States on March 5, 2025","I use protein after working out and most protein flavors are pretty bad to be honest. This Boba tea protein is a refreshing way to get extra protein. The powder dissolved easily in a shaker and I didn't experience any clumping. The taste is a bit hard to describe however there's a hint of chocolate, it tastes like a sweet coffee to be honest. I can get used to using this in stead of regular powder, there's no fillers that I see and everything is healthy.",False,0,Flavor Name: Vietnamese Coffee Size: 19 Servings,Vietnamese Coffee,2025-03-05,2025-03-01,0.9231,pos
